,Airline,Airline ID,Source Airport,Destination Airport,Codeshare,Stops,Equipment,source_airport_idx,dest_airport_idx
0,2B,410,ASF,KZN,,0,CR2,0,6
1,2B,410,ASF,MRV,,0,CR2,0,8
2,2B,410,CEK,KZN,,0,CR2,1,6
3,2B,410,CEK,OVB,,0,CR2,1,12
4,2B,410,DME,KZN,,0,CR2,2,6
5,2B,410,DME,NBC,,0,CR2,2,9
6,2B,410,DME,TGK,,0,CR2,2,14
7,2B,410,DME,UUA,,0,CR2,2,15
8,2B,410,EGO,KGD,,0,CR2,3,5
9,2B,410,EGO,KZN,,0,CR2,3,6
10,2B,410,GYD,NBC,,0,CR2,4,9
11,2B,410,KGD,EGO,,0,CR2,5,3
12,2B,410,KZN,AER,,0,CR2,6,786
13,2B,410,KZN,ASF,,0,CR2,6,0
14,2B,410,KZN,CEK,,0,CR2,6,1
15,2B,410,KZN,DME,,0,CR2,6,2
16,2B,410,KZN,EGO,,0,CR2,6,3
17,2B,410,KZN,LED,,0,CR2,6,7
18,2B,410,KZN,SVX,,0,CR2,6,13
19,2B,410,LED,KZN,,0,CR2,7,6
20,2B,410,LED,NBC,,0,CR2,7,9
21,2B,410,LED,UUA,,0,CR2,7,15
22,2B,410,MRV,ASF,,0,CR2,8,0
23,2B,410,NBC,DME,,0,CR2,9,2
24,2B,410,NBC,GYD,,0,CR2,9,4
25,2B,410,NBC,LED,,0,CR2,9,7
26,2B,410,NBC,SVX,,0,CR2,9,13
27,2B,410,NJC,SVX,,0,CR2,10,13
28,2B,410,NJC,UUA,,0,CR2,10,15
29,2B,410,NUX,SVX,,0,CR2,11,13
30,2B,410,OVB,CEK,,0,CR2,12,1
31,2B,410,OVB,SVX,,0,CR2,12,13
32,2B,410,SVX,KZN,,0,CR2,13,6
33,2B,410,SVX,NBC,,0,CR2,13,9
34,2B,410,SVX,NJC,,0,CR2,13,10
35,2B,410,SVX,NUX,,0,CR2,13,11
36,2B,410,SVX,OVB,,0,CR2,13,12
37,2B,410,TGK,DME,,0,CR2,14,2
38,2B,410,UUA,DME,,0,CR2,15,2
39,2B,410,UUA,LED,,0,CR2,15,7
40,2B,410,UUA,NJC,,0,CR2,15,10
41,2G,1654,BTK,IKT,,0,A81,16,18
42,2G,1654,BTK,OVB,,0,A81,16,12
43,2G,1654,CEK,OVB,,0,A81,1,12
44,2G,1654,HTA,IKT,,0,AN4,17,18
45,2G,1654,IKT,BTK,,0,A81,18,16
46,2G,1654,IKT,HTA,,0,AN4,18,17
47,2G,1654,IKT,KCK,,0,AN4,18,19
48,2G,1654,IKT,ODO,,0,AN4,18,21
49,2G,1654,IKT,OVB,,0,A81,18,12
50,2G,1654,IKT,UKX,,0,AN4,18,22
51,2G,1654,IKT,ULK,,0,AN4,18,23
52,2G,1654,IKT,YKS,,0,A81,18,24
53,2G,1654,KCK,IKT,,0,AN4,19,18
54,2G,1654,MJZ,OVB,,0,A81,20,12
55,2G,1654,ODO,IKT,,0,AN4,21,18
56,2G,1654,OVB,BTK,,0,A81,12,16
57,2G,1654,OVB,CEK,,0,A81,12,1
58,2G,1654,OVB,IKT,,0,A81,12,18
59,2G,1654,UKX,IKT,,0,AN4,22,18
60,2G,1654,ULK,IKT,,0,AN4,23,18
61,2G,1654,YKS,IKT,,0,A81,24,18
62,2I,8359,AYP,LIM,,0,142,25,29
63,2I,8359,CUZ,LIM,,0,142 141,26,29
64,2I,8359,CUZ,PEM,,0,142,26,31
65,2I,8359,HUU,LIM,,0,141,27,29
66,2I,8359,IQT,PCL,,0,143,28,30
67,2I,8359,IQT,TPP,,0,142,28,32
68,2I,8359,LIM,AYP,,0,142,29,25
69,2I,8359,LIM,CUZ,,0,142 141,29,26
70,2I,8359,LIM,HUU,,0,141,29,27
71,2I,8359,LIM,PCL,,0,143 146,29,30
72,2I,8359,LIM,TPP,,0,142 146,29,32
73,2I,8359,PCL,IQT,,0,143,30,28
74,2I,8359,PCL,LIM,,0,143 146,30,29
75,2I,8359,PCL,TPP,,0,146,30,32
76,2I,8359,PEM,CUZ,,0,142,31,26
77,2I,8359,TPP,IQT,,0,142,32,28
78,2I,8359,TPP,LIM,,0,142 146,32,29
79,2I,8359,TPP,PCL,,0,146,32,30
80,2J,470,ABJ,BOY,,0,CRJ,33,36
81,2J,470,ABJ,OUA,,0,E70 CRJ M87,33,41
82,2J,470,ACC,OUA,,0,CRJ,34,41
83,2J,470,BKO,ABJ,,0,M87,35,33
84,2J,470,BKO,DKR,,0,M87,35,38
85,2J,470,BKO,OUA,,0,CRJ,35,41
86,2J,470,BOY,ABJ,,0,CRJ,36,33
87,2J,470,BOY,OUA,,0,CRJ,36,41
88,2J,470,COO,LFW,,0,M87,37,39
89,2J,470,COO,OUA,,0,M87,37,41
90,2J,470,DKR,BKO,,0,M87,38,35
91,2J,470,DKR,OUA,,0,M87,38,41
92,2J,470,LFW,OUA,,0,M87 CRJ,39,41
93,2J,470,NIM,OUA,,0,CRJ,40,41
94,2J,470,OUA,ABJ,,0,E70 CRJ M87,41,33
95,2J,470,OUA,ACC,,0,CRJ,41,34
96,2J,470,OUA,BKO,,0,M87 CRJ,41,35
97,2J,470,OUA,BOY,,0,CRJ,41,36
98,2J,470,OUA,COO,,0,M87,41,37
99,2J,470,OUA,DKR,,0,M87,41,38
100,2J,470,OUA,LFW,,0,CRJ,41,39
101,2J,470,OUA,NIM,,0,CRJ,41,40
102,2K,1338,BOG,GYE,,0,319,42,44
103,2K,1338,BOG,UIO,,0,319 320,42,47
104,2K,1338,CLO,GYE,,0,319,43,44
105,2K,1338,GYE,BOG,,0,319,44,42
106,2K,1338,GYE,CLO,,0,319,44,43
107,2K,1338,GYE,SCY,,0,319 320,44,46
108,2K,1338,GYE,UIO,,0,320 319,44,47
109,2K,1338,OCC,UIO,,0,319,45,47
110,2K,1338,SCY,GYE,,0,319 320,46,44
111,2K,1338,UIO,BOG,,0,319 320,47,42
112,2K,1338,UIO,GYE,,0,319,47,44
113,2K,1338,UIO,OCC,,0,319,47,45
114,2L,2750,BDS,ZRH,,0,100,48,56
115,2L,2750,BOD,ZRH,,0,100,49,56
116,2L,2750,BRS,ZRH,,0,100,50,56
117,2L,2750,GVA,LPA,,0,319,51,53
118,2L,2750,LCA,ZRH,,0,319,52,56
119,2L,2750,LPA,ZRH,,0,319,53,56
120,2L,2750,RMF,ZRH,,0,319,54,56
121,2L,2750,TFS,GVA,,0,319,55,51
122,2L,2750,ZRH,BDS,,0,100,56,48
123,2L,2750,ZRH,BOD,,0,100,56,49
124,2L,2750,ZRH,BRS,,0,100,56,50
125,2L,2750,ZRH,LCA,,0,319,56,52
126,2L,2750,ZRH,LPA,,0,319,56,53
127,2L,2750,ZRH,RMF,,0,319,56,54
128,2N,3652,AJR,LYC,,0,ATP,57,66
129,2N,3652,ARN,GEV,,0,ATP,58,59
130,2N,3652,ARN,HAD,,0,SF3,58,60
131,2N,3652,ARN,JKG,,0,ATP SF3,58,62
132,2N,3652,ARN,KRF,,0,ATP,58,64
133,2N,3652,ARN,KSD,,0,SF3,58,65
134,2N,3652,ARN,LYC,,0,ATP,58,66
135,2N,3652,ARN,MHQ,,0,SF3,58,67
136,2N,3652,ARN,OER,,0,ATR,58,68
137,2N,3652,ARN,POR,,0,SF3,58,70
138,2N,3652,ARN,TRF,,0,SF3,58,72
139,2N,3652,ARN,VBY,,0,SF3 ATP,58,73
140,2N,3652,ARN,VHM,,0,SF3,58,74
141,2N,3652,ARN,VXO,,0,SF3,58,75
142,2N,3652,GEV,ARN,,0,ATP,59,58
143,2N,3652,GEV,KRF,,0,ATP,59,64
144,2N,3652,HAD,ARN,,0,SF3 ATP,60,58
145,2N,3652,HAD,JKG,,0,ATP SF3,60,62
146,2N,3652,HAD,VXO,,0,SF3,60,75
147,2N,3652,HMV,VHM,,0,SF3,61,74
148,2N,3652,JKG,ARN,,0,ATP SF3,62,58
149,2N,3652,JKG,HAD,,0,ATP SF3,62,60
150,2N,3652,KOK,POR,,0,SF3,63,70
151,2N,3652,KRF,ARN,,0,ATP,64,58
152,2N,3652,KRF,GEV,,0,ATP,64,59
153,2N,3652,KSD,ARN,,0,SF3,65,58
154,2N,3652,LYC,AJR,,0,ATP,66,57
155,2N,3652,LYC,ARN,,0,ATP,66,58
156,2N,3652,MHQ,ARN,,0,SF3,67,58
157,2N,3652,MHQ,TKU,,0,SF3,67,71
158,2N,3652,OER,ARN,,0,ATR,68,58
159,2N,3652,OSL,VXO,,0,SF3,69,75
160,2N,3652,POR,ARN,,0,SF3,70,58
161,2N,3652,POR,KOK,,0,SF3,70,63
162,2N,3652,TKU,MHQ,,0,SF3,71,67
163,2N,3652,TRF,ARN,,0,SF3,72,58
164,2N,3652,VBY,ARN,,0,SF3 ATP,73,58
165,2N,3652,VHM,ARN,,0,SF3,74,58
166,2N,3652,VHM,HMV,,0,SF3,74,61
167,2N,3652,VXO,ARN,,0,SF3,75,58
168,2N,3652,VXO,OSL,,0,SF3,75,69
169,2O,146,ADQ,AOS,,0,BNI,76,77
170,2O,146,ADQ,KKB,,0,BNI,76,78
171,2O,146,ADQ,KLN,,0,BNI,76,79
172,2O,146,ADQ,KOZ,,0,BNI,76,80
